rate_rps,n_obs,rho,mean_svc_ms,p50_resp_ms,p95_resp_ms,p99_resp_ms,ks_replay,ks_bootstrap,ks_parametric
50,4574,0.06113506777437691,1.2227013554875383,1.066,2.634449999999996,4.098369999999985,0.026235242675994752,0.03301268036729338,0.025142107564494975
100,9013,0.16299181182736047,1.6299181182736047,1.215,4.5063999999999975,10.614319999999989,0.01708643071119495,0.03561522245645177,0.06313103295240208
200,17813,0.43513722562173696,2.175686128108685,1.521,6.860799999999996,13.984000000000076,0.029304440577106683,0.13192612137203164,0.14062763150508062
400,36317,0.9671121293058349,2.417780323264587,1.642,7.796399999999995,15.764679999999993,0.06404714045763693,0.18052151884792256,0.1709116942478729
