rate_rps,n_obs,rho,mean_svc_ms,p50_resp_ms,p95_resp_ms,p99_resp_ms,ks_replay,ks_bootstrap,ks_parametric
10,917,0.11331663031624864,11.331663031624863,30.049,91.95539999999998,136.18088,0.549618320610687,0.5441657579062159,0.5703380588876772
25,2315,0.26620299136069114,10.648119654427646,12.151,94.66079999999985,140.08612000000002,0.1580993520518359,0.150755939524838,0.15205183585313176
50,4495,0.5231603003337041,10.463206006674081,10.421,66.55980000000004,121.8318000000004,0.4476084538375974,0.44760845383759734,0.44182424916573976
75,6423,0.8025591896310135,10.70078919508018,10.34,29.63069999999997,83.31939999999989,0.7178888369920597,0.7119725984742332,0.7020084072863149
100,1007,4.609129791459781,46.09129791459781,38.506,98.11819999999989,152.53235999999998,0.916583912611718,0.9205561072492553,0.8828202581926514
200,8680,2.867995921658986,14.33997960829493,12.8625,22.469199999999955,51.91052999999983,0.9868663594470046,0.9839861751152074,0.9607142857142857
400,5173,8.40384318577228,21.0096079644307,15.088,51.61779999999999,88.08879999999999,0.9103034989367872,0.950705586700174,0.8840131451768799
600,4930,12.145400446247464,20.242334077079107,15.0915,47.7933,88.21247000000001,0.9606490872210953,0.9618661257606491,0.9608519269776876
