id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14568,880,1774346172446051446,1774346172446059153,1774346172448496382,1774346172448582276,0.008,2.437,2.531,200,3
14569,881,1774346172449002574,1774346172449008063,1774346172451283945,1774346172451310528,0.005,2.276,2.308,200,3
14570,882,1774346172452817934,1774346172452824458,1774346172458047339,1774346172458085483,0.007,5.223,5.268,200,3
14571,885,1774346172458674961,1774346172458681939,1774346172459063069,1774346172459078261,0.007,0.381,0.403,200,3
14572,883,1774346172459384254,1774346172459387347,1774346172463464586,1774346172463508145,0.003,4.077,4.124,200,3
14573,884,1774346172463908151,1774346172463913261,1774346172465555884,1774346172465587049,0.005,1.643,1.679,200,3
14574,886,1774346172467127983,1774346172467133758,1774346172467568656,1774346172467587005,0.006,0.435,0.459,200,3
14575,887,1774346172467942132,1774346172467946566,1774346172470405141,1774346172470436328,0.004,2.459,2.494,200,3
14576,888,1774346172474694433,1774346172474705708,1774346172477377552,1774346172477407694,0.011,2.672,2.713,200,3
14578,891,1774346172497163695,1774346172497172194,1774346172500279759,1774346172500315052,0.008,3.108,3.152,200,3
14577,889,1774346172480782929,1774346172480794014,1774346172494748135,1774346172494775995,0.011,13.954,13.993,200,3
14579,890,1774346172500862744,1774346172500867221,1774346172501236653,1774346172501249849,0.004,0.369,0.387,200,3
14580,892,1774346172502700054,1774346172502705280,1774346172503486120,1774346172503499876,0.005,0.781,0.800,200,3
14581,894,1774346172506524487,1774346172506532004,1774346172508964535,1774346172508997126,0.008,2.433,2.473,200,3
14582,893,1774346172509430968,1774346172509435001,1774346172514433475,1774346172514473298,0.004,4.999,5.042,200,3
14583,896,1774346172517962051,1774346172517972144,1774346172520517205,1774346172520555834,0.010,2.545,2.594,200,3
14584,895,1774346172521093439,1774346172521098644,1774346172523368128,1774346172523392124,0.005,2.270,2.299,200,3
14585,897,1774346172524004733,1774346172524010308,1774346172524509732,1774346172524523689,0.006,0.499,0.519,200,3
14586,898,1774346172529136716,1774346172529144254,1774346172530653263,1774346172531424855,0.008,1.509,2.288,200,3
14587,899,1774346172538184917,1774346172538195136,1774346172539409296,1774346172539433028,0.010,1.214,1.248,200,3
14588,901,1774346172539920565,1774346172539924957,1774346172541995404,1774346172542020889,0.004,2.071,2.100,200,3
14589,900,1774346172542438357,1774346172542443995,1774346172544265300,1774346172544297183,0.006,1.821,1.859,200,3
14590,903,1774346172546497347,1774346172546505339,1774346172553989454,1774346172554122751,0.008,7.484,7.626,200,3
14591,902,1774346172554533662,1774346172554538762,1774346172556331757,1774346172556362310,0.005,1.793,1.829,200,3
14592,907,1774346172559459555,1774346172559465731,1774346172560384260,1774346172560408911,0.006,0.919,0.949,200,3
14593,904,1774346172560793176,1774346172560798328,1774346172564432724,1774346172565077839,0.005,3.634,4.285,200,3
14594,905,1774346172566123267,1774346172566130192,1774346172569497415,1774346172569584660,0.007,3.367,3.461,200,3
14595,906,1774346172571253972,1774346172571261847,1774346172578648582,1774346172578680497,0.008,7.387,7.427,200,3
14596,909,1774346172579264400,1774346172579270809,1774346172582552928,1774346172584647568,0.006,3.282,5.383,200,3
14597,908,1774346172585381891,1774346172585387497,1774346172593218034,1774346172593247310,0.006,7.831,7.865,200,3
14598,911,1774346172593989478,1774346172593997195,1774346172595815175,1774346172595850795,0.008,1.818,1.861,200,3
14599,910,1774346172596723051,1774346172596728171,1774346172608623035,1774346172608803301,0.005,11.895,12.080,200,3
14600,912,1774346172610520089,1774346172610528208,1774346172611669753,1774346172611687574,0.008,1.142,1.168,200,3
14601,913,1774346172611966604,1774346172611970140,1774346172612733740,1774346172612752131,0.004,0.764,0.786,200,3
14602,914,1774346172613084971,1774346172613089754,1774346172614656089,1774346172614681637,0.005,1.566,1.597,200,3
14603,915,1774346172615373490,1774346172615377776,1774346172616712484,1774346172616729555,0.004,1.335,1.356,200,3
14604,916,1774346172617351402,1774346172617355730,1774346172618133033,1774346172618148267,0.004,0.777,0.797,200,3
14605,917,1774346172620728111,1774346172620734245,1774346172621500727,1774346172621526814,0.006,0.767,0.799,200,3
14606,918,1774346172625920824,1774346172625972618,1774346172628903856,1774346172628924284,0.052,2.931,3.004,200,3
