server,rate_rps,workers,rho_obs,rho0,S0_ms,alpha,beta,fit_best_model,M0_mean_ms,M1_mean_ms,M2_mean_ms,ks_M0,ks_M1,ks_M2,delta_M1_minus_M2,best_ks_model,M2_beats_M1,delta_M0_minus_M2
Python DSP (3c),200,3,0.794,0.647,9.702,4.419,0.324,M1 linear,9.702,12.56,12.274,0.2943,0.1405,0.1153,0.0252,M2,True,0.179
Python DSP (3c),150,3,0.582,0.485,9.702,4.419,0.324,M1 linear,9.702,11.846,11.511,0.2762,0.1021,0.1228,-0.0207,M1,False,0.15339999999999998
Apache DSP (1c),75,1,0.435,0.243,3.242,30.54,0.999,M1 linear,3.242,10.668,4.282,0.4828,0.675,0.3671,0.3079,M2,True,0.11570000000000003
Python DSP (3c),100,3,0.389,0.323,9.702,4.419,0.324,M1 linear,9.702,11.131,10.838,0.2722,0.1419,0.1641,-0.0222,M1,False,0.1081
Go lognormal (1c),200,1,0.435,0.284,1.418,6.554,0.999,M1 linear,1.418,3.277,1.979,0.1815,0.4398,0.0925,0.3473,M2,True,0.089
Apache MSG (1c),50,1,0.123,0.103,2.062,6.816,0.999,M1 linear,2.062,2.765,2.299,0.4488,0.2599,0.3743,-0.1144,M1,False,0.07449999999999996
