server,rate_rps,rho_obs,S0_ms,beta,cv,ks_FCFS_M0,ks_M2_LOAD_DEP,ks_PRIO_PREEMPT,ks_FEEDBACK_PRIO,preempt_lambda1_ratio,preempt_s1_frac,feedback_quantum_frac,delta_FCFS_minus_PREEMPT,delta_FCFS_minus_FEEDBACK,delta_M2_minus_PREEMPT,delta_M2_minus_FEEDBACK,best_model
Apache DSP (1c),50,0.167,3.242,0.999,1.718,0.5212,0.4682,0.5094,0.5358,0.6,0.15,0.1,0.0119,-0.0145,-0.0411,-0.0675,M2_LOAD_DEP
Apache DSP (1c),75,0.435,3.242,0.999,1.718,0.4857,0.362,0.4778,0.4929,0.3,0.15,0.1,0.0079,-0.0073,-0.1158,-0.1309,M2_LOAD_DEP
Go lognormal (1c),100,0.163,1.418,0.999,1.086,0.1775,0.1143,0.1661,0.1825,0.6,0.15,0.1,0.0114,-0.005,-0.0518,-0.0682,M2_LOAD_DEP
Go lognormal (1c),200,0.435,1.418,0.999,1.086,0.1887,0.079,0.1695,0.1901,0.6,0.15,0.1,0.0191,-0.0014,-0.0905,-0.111,M2_LOAD_DEP
Node DSP (1c),200,0.236,0.831,0.999,0.4,0.7705,0.7628,0.7692,0.7662,0.6,0.15,0.5,0.0013,0.0043,-0.0064,-0.0034,M2_LOAD_DEP
Node DSP (1c),400,0.564,0.831,0.999,0.4,0.6261,0.6027,0.6254,0.6177,0.6,0.15,0.5,0.0007,0.0084,-0.0227,-0.0149,M2_LOAD_DEP
Python DSP (1c),25,0.204,8.186,0.0,0.346,0.3018,0.3069,0.2783,0.3005,0.3,0.15,0.1,0.0235,0.0013,0.0286,0.0063,PRIO_PREEMPT
Python DSP (1c),50,0.397,8.186,0.0,0.346,0.2879,0.2857,0.2479,0.2863,0.6,0.15,0.1,0.0399,0.0016,0.0377,-0.0007,PRIO_PREEMPT
