id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
6148,1473,1774346085219172625,1774346085219272220,1774346085220737641,1774346085220764205,0.100,1.465,1.592,200,3
6149,1475,1774346085226555462,1774346085226562884,1774346085228519461,1774346085228535847,0.007,1.957,1.980,200,3
6150,1474,1774346085230587690,1774346085230595186,1774346085233056982,1774346085233126570,0.007,2.462,2.539,200,3
6151,1476,1774346085233631810,1774346085233638346,1774346085235542702,1774346085235561580,0.007,1.904,1.930,200,3
6152,1477,1774346085240123971,1774346085240131763,1774346085241073277,1774346085241096790,0.008,0.942,0.973,200,3
6153,1478,1774346085249834081,1774346085249843731,1774346085250171979,1774346085250188513,0.010,0.328,0.354,200,3
6154,1479,1774346085254453845,1774346085254464213,1774346085255092688,1774346085255105379,0.010,0.628,0.652,200,3
6155,1480,1774346085265957767,1774346085265962962,1774346085266554748,1774346085266566393,0.005,0.592,0.609,200,3
6156,1482,1774346085271931442,1774346085271944777,1774346085273930821,1774346085273951325,0.013,1.986,2.020,200,3
6157,1481,1774346085274315392,1774346085274318422,1774346085274951922,1774346085274967253,0.003,0.634,0.652,200,3
6158,1483,1774346085277587653,1774346085277596997,1774346085278989145,1774346085279020260,0.009,1.392,1.433,200,3
6159,1484,1774346085281527155,1774346085281737094,1774346085283446947,1774346085283459300,0.210,1.710,1.932,200,3
6160,1485,1774346085284799871,1774346085284806533,1774346085285490143,1774346085285538309,0.007,0.684,0.738,200,3
6161,1486,1774346085312549553,1774346085312557587,1774346085314168943,1774346085314179238,0.008,1.611,1.630,200,3
6162,1487,1774346085323557294,1774346085323563059,1774346085324248284,1774346085324255548,0.006,0.685,0.698,200,3
6163,1488,1774346085335156536,1774346085335161699,1774346085335537865,1774346085335547970,0.005,0.376,0.391,200,3
6164,1489,1774346085345803077,1774346085345814152,1774346085346736281,1774346085346756775,0.011,0.922,0.954,200,3
6165,1490,1774346085368240823,1774346085368251075,1774346085369032570,1774346085369052863,0.010,0.781,0.812,200,3
6166,1491,1774346085376035307,1774346085376047554,1774346085376908995,1774346085376920757,0.012,0.861,0.885,200,3
6167,1493,1774346085388811779,1774346085388817311,1774346085390052860,1774346085390078083,0.006,1.236,1.266,200,3
6168,1492,1774346085395690975,1774346085395697985,1774346085396554770,1774346085396564452,0.007,0.857,0.873,200,3
6169,1494,1774346085406528181,1774346085406534959,1774346085409257425,1774346085409291782,0.007,2.722,2.764,200,3
6170,1495,1774346085413572158,1774346085413618720,1774346085415394678,1774346085415412352,0.047,1.776,1.840,200,3
6171,1496,1774346085424221207,1774346085424230593,1774346085424618014,1774346085424633366,0.009,0.387,0.412,200,3
6172,1497,1774346085425105094,1774346085425111281,1774346085425920322,1774346085425981010,0.006,0.809,0.876,200,3
6173,1498,1774346085432526664,1774346085432534572,1774346085434034476,1774346085434062487,0.008,1.500,1.536,200,3
6174,1500,1774346085437548293,1774346085437556149,1774346085438098659,1774346085438110674,0.008,0.543,0.562,200,3
6175,1499,1774346085444849547,1774346085444858965,1774346085445788918,1774346085445812008,0.009,0.930,0.963,200,3
6176,1502,1774346085450060600,1774346085450068265,1774346085453027033,1774346085453060577,0.008,2.959,3.000,200,3
6177,1501,1774346085461108229,1774346085461118555,1774346085461828592,1774346085461847786,0.010,0.710,0.740,200,3
6178,1503,1774346085475990364,1774346085475996330,1774346085477203751,1774346085477223390,0.006,1.207,1.233,200,3
6179,1504,1774346085492263502,1774346085492270185,1774346085493573274,1774346085493583875,0.007,1.303,1.320,200,3
6180,1505,1774346085495404758,1774346085495411853,1774346085499340939,1774346085499395884,0.007,3.929,3.991,200,3
6181,1506,1774346085500170040,1774346085500174274,1774346085501849306,1774346085501867657,0.004,1.675,1.698,200,3
6182,1507,1774346085507865672,1774346085507874805,1774346085508733976,1774346085508748304,0.009,0.859,0.883,200,3
6183,1508,1774346085510792355,1774346085510798300,1774346085511575265,1774346085511588410,0.006,0.777,0.796,200,3
6184,1509,1774346085514479986,1774346085514493743,1774346085518290988,1774346085518343948,0.014,3.797,3.864,200,3
6185,1511,1774346085523682560,1774346085523692591,1774346085524663129,1774346085524680117,0.010,0.971,0.998,200,3
6186,1510,1774346085524954207,1774346085524958336,1774346085526332829,1774346085526348540,0.004,1.375,1.394,200,3
